customer_id,name,address,telephone1,telephone2,email,website,sec,vat,withHoldingTax,businessNature,qualifyingSystem,certifyingBody,dateCertified,payment,status,remarks,businessStyle,tin,createdDate
1500000,Precision Measurement Specialists  Inc.,B1 L3 Macaria Business Center. Governor's Dr.  Carmona  4116 Cavite  Philippines,046 430-2784,046 430-2785,info@pmsi-cal.com,,,,,,,,,COD,Active,,,,26/05/2013
1500001,Magnetron Technology Phils. Corp.,Philippines,,,,,,Non-VAT,,,,,,COD,Active,,,,
1500002,American Power Conversion (Plant 1)- (APC1),2nd St.  PEZA  Rosario  Cavite Philippines,,,,,,Non-VAT,,,,,,COD,Active,,,,
1500003,American Power Conversion (Plant 2)- (APC2),Lot 32  Phase 1  Carmelray Industrial Park  Canlubang  Calamba  Philippines,,,,,,Non-VAT,,,,,,COD,Active,,,,
1500004,Ritz Food Products Corporation,Brgy. St. Tomas  Biñan  Laguna 4024  Philippines,049 512-7572,049 512-7492,,,,VAT,,,,,,COD,Active,,,,
1500005,Enomoto Philippine Manufacturing  Inc.,PEZA-Gateway Business Park  Javalera  General Trias  Cavite  Philippines 4107,046 433-0263,046 433-0264,Qaconnector@enomoto.com.ph,,,Non-VAT,,,,,,COD,Active,"Javalera  Gen Trias
Approved 30 days payment terms : 10 May 2023
Formely payment terms 30 days ( removed  fr Mam EM Sept 20  2023)",Manufacturing,004-820-727-000-V,23/05/2013
1500006,Read-Rite Philippines  Inc.,Carmelray Industrial  Park  Canlubang  Laguna  Philippines,,,,,,Non-VAT,,,,,,COD,,,,,
1500007,Integrated Micro-Electronics  Inc.,Blk 16 Phase IV  PEZA  Rosario  Cavite 4106  Philippines,046 437-1657,046 437-7035,michael-j_inovejas@speedy-tech.com.sg,www.speedy-tech.com.sg,,Non-VAT,,,,,38498,Net 7 Days,Active,"OK to release certificates without payment upon pick-up
Formerly:  Speedy-Tech Philippines  Inc. (11/6/13)
Brgy. Tejeros Convention  Rosario  Cavite",,000-409-747-005,02/04/2012
1500008,Dumbo Marketing,#2 Luntan St. Araneta Ave.  Quezon City  Philippines,632 711-5716,632 712-2501,,,,VAT,,,,,,COD,,,,,
1500009,Ramatek Philippines  Inc.,Lots G & H South Coast Ind'l Estate  Bo. Bancal  Carmona  Cavite 4116  Philippines,046 972-1000,046 972-0001,ramatek@mnl.sequel.net,,,VAT,,,,,,COD,Active,,,,
1500010,MX Technology Corporation,Granville Industrial Complex  Governor Dr  Bo. Bancal  Carmona  Cavite  Laguna  Philippines,046 430-1907,046 972-0108,mx@fastmail.i-next.net,,,VAT,,,,,,Net 7 Days,Active,,,,
1500011,Device Dynamics Asia Philippines,2nd Floor  DPL Technology Bldg.  Calamba Premier International Park (CPIP)  SEZ Brgy. Batino  Calamba City Philippines  4027,049 502-6554 / 049 545-0618,,,www.devicedynamics.com,,Non-VAT,,,,,,COD,Active,,,204-770-285-000V,29/05/2012
1500012,Integrated Silicon Technology Philippines Corp.,Carmelray Industrial Park  Calamba  Laguna  Philippines,,,,,,Non-VAT,,,,,,COD,,,,,
1500013,Automated Technology (Phil.)  Inc. (ATEC),LISP1 - SEPZ  Cabuyao  Laguna  Philippines,,,,,,Non-VAT,,,,,,COD,Active,"Bo. Diezmo  Cabuyao
Collection Schedule:  Friday 2-5pm",,004-850-815-000,30/07/2012
1500014,American Power Conversion (Plant 3)- (APC3),Lot 10  Block 16  Phase IV  PEZA  Rosario  Cavite  Philippines,,,,,,Non-VAT,,,,,,COD,,,,,
1500015,Read-Rite Philippines  Inc,Carmelray Industrial Park  Canlubang   Laguna  Philippines,,,,,,Non-VAT,,,,,,COD,,,,,
1500016,Ionics EMS  Inc. (Plant 5),Circuit St. SEPZ  LISP1  Cabuyao  Laguna  Philippines,049 543-0771,049 543-0776,,,,Non-VAT,,,,,,COD,,,,,
1500017,Amcor Specialty Cartons (ASC),Km. 22 Ortigas Ave. Extension  Bo. Mapandan  San Juan  Cainta Rizal 1900  Philippines,632 660-8866,632 658-9449,gary.calicdan@starpack.com.ph,www.starpack.com.ph,170935,VAT,,,,,,COD,Active,"Collection Schedule: W & F (3-5PM)
formerly Alcan Packaging  Starpack Corp.  Amcor Tobacco Packaging Rizal Corporation (7-23-18)
Amcor Specialty Cartons Rizal Corp.(10-19-21)",Amcor Specialty Cartons Rizal Corp.,000-201-113-000-00,17/03/2014
1500018,Romega Industrial Trading and Services,Lot 27A Blk 6 St. Rosa Village  Sta. Rosa  Laguna  Philippines,049 534-2165,049 534-3556,,,,VAT,,,,,,COD,,,,,
1500019,First Sumiden Circuits  Inc.,Ampere St. cor. Main Ave.  LISP1  Bo. Diezmo  Cabuyao  Laguna Philippines,632 757-7001,632 519-4030,,,,Non-VAT,,,,,,Net 30 Days,Active,"Collection schedule:
Monday until Friday 10am-4pm.
Location:  First Sumiden  LISP
--
Formely:
Collection schedule:  W & F (11am-4pm)
ECX Alabang -(02)-8552-0282
----
Guard House:  (0917) 513-4789
---------------
Must have P.O.  Release Equipt & Docs  Pmt to follow.",,004-523-147-000V,17/01/2014
1500020,Isola Corporation (Sumisola Corp),First Philippine Industrial Park  Brgy. Sta. Anastacia   Sto. Tomas Batangas 4234  Philippines,,,,,,,,,,,,COD,,,,,
1500021,Music Semiconductors Phils.  Inc.,Lot 8  Phase IIB  SEPZ 1  Carmelray Industrial Park  Canlubang  Laguna 4028  Philippines,049 549-1480,049 549-1024,emma@music-mt.com,,,Non-VAT,,,,,,COD,Active,,,,
1500022,American Power Conversion (Plant 4) -(APC4),Philippines,,,,,,Non-VAT,,,,,,COD,,,,,
1500023,GEMPHIL Technologies Incorporated,GEMPHIL bldg.  West Road LISP Barangay Diezmo  Cabuyao  Laguna Philippines,049 5543-0661,049 543-0660,gemphil@laguna.net,,,Non-VAT,,,,,,COD,Active,,,,
1500024,Portion Fillers  Inc. - Cabuyao,#7 Fusion St.  LISP1  Cabuyao  Laguna  Philippines,049 543-0737,049 543-0071,jrtagsip@portionfillers.com,www.portionfillers.com,,VAT,,,,,,,Active,"Collection Schedule:_________________  per customer request  add mass class under remarks of cal reports  reflect cal due dates on cal sticker  cal reports  cal certficates.

- invoice without P.O. - authorized to deliver equipment & cal docs with invoice (no need for P.O.)",,004-681-289-001,01/03/2012
1500025,Bonifacio Stanger Materials Testing Corp.,Bldg. C. Bonifacio Center  Bonifacion Global City  Taguig  Metro Manila 1634  Philippines,,,,,,VAT,,,,,,COD,,,,,
1500026,Synertronix  Inc.,Bgy. Batimo  Calamba  Laguna  Philippines,049 531-4347,049 531-4348,ems@synertronix.com,,,Non-VAT,,,,,,COD,,,,,
1500027,BAG Electronics  Inc.,SEZ - Laguna Int'l Industrial Park  Blk 5  Lot 6  CNB St.  Mamplasan  Biñan  Laguna 4024  Philippines,049 539-0743,049 539-0740,fgarrido@trilux.com.ph,www.trilux.com.ph,,Non-VAT,,,,,,COD,Active,,,005-241-174-000,22/01/2013
1500028,Tosoh Polyvin Corporation,Special Economic Zone Lima Technology Center  San Lucas 4217 Lipa City  Batangas  Philippines,043 981-3001,,,,,VAT,,,,,,COD,Active,"Formely Address: 
SEZ - Lima Technology Center  Lima Technology Center  Lipa City  Batangas  Philippines
Special Economic Zone Lima Technology Center  Lipa City  Batangas  Philippines
Formely Customer Name:
Tosoh Polyvin Corp.",Tosoh Polyvin Corporation,005-197-931-00000,13/10/2014
1500029,Luzon Electronics Technology  Inc.,SEPZ - Gateway Business Park  Javalera Gen. Trias  Cavite 4107  Philippines,046 433-0111,046 433-0222,alvin_macha@po.hitachi-metals.co.jp,,,Non-VAT,,,,,,Net 15 Days,Active,Separate receiving form from Mr. Elly  separate DR's when realising the equipment,,,
1500030,Middleby Philippines Corporation,113 Technology Ave.  Laguna Technopark  Biñan Laguna 4028   Philippines,632 520-8170,632 520-8191,Tabello@midph.com,www.midph.com,,VAT,,,,,,COD,Active,Collection Schedule:  every 2nd and 4th Friday of each month.  Follow-up Friday mornings.,Middleby Philippines Corp.,004-721-650-000,09/05/2012
1500031,Sanno Phils. Manufacturing Corp.,SEPZ - Gateway Business Park  Javalera  Gen. Trias  Cavite  Philippines,,,,,,VAT,,,,,,COD,,,,,
1500032,NEC,Laguna Technopark  Biñan  Laguna  Philippines,,,,,,Non-VAT,,,,,,COD,,,,,
1500033,MMET Technologies  Inc.,G/F Opt Bldg. 2  West Rd.  Bo. Diezmo  LISP1  Cabuyao 4025   Philippines,,,,,,VAT,,,,,,COD,,,,,
1500034,Tong Hsing Electronics Phils. Inc.,103 Prosperity Ave.  Carmelray Industrial Business Park (CIBP)  Canlubang  Calamba  Laguna 4028 Philippines,,,,,,NON-VAT,,,,,,COD,Active,"
Lot 15  Rd. 3  Carmelray Industrial Park  Canlubang  Calamba  Laguna  Philippines

103 Prosperity Ave.  Carmelray Industrial Business Park (CIBP)  Canlubang  Calamba  Laguna 4028 Philippines

Prev TIN - 003-933-357V",Manufacturing,003-933-357-000,31/07/2012
1500035,GM Sandoval  Inc.,20 Gregoria de Jesus St.  Caloocan City  M/M 1400  Philippines,,,,,,VAT,,,,,,COD,Active,,,,
1500036,Design Packaging Industries Inc.,Km. 17 Cervantes Cmpd. South Superhighway  Paranaque City  Philippines,,,,,,VAT,,,,,,COD,Active,Design Packaging Industries Incorporated,Design Packaging Industries Inc.,000-411-826-000,20/03/2024
1500037,EPSON Precision Philippines  Inc.,SEZ - Lima Technology Center  Lipa City  Batangas 4217  Philippines,,,,,,Non-VAT,,,,,,COD,,,,,
